"SALON","GRUPO","LUGAR","SEMANA","FECHA","ALIMENTO","PRECIO ","UNIDADES","OBSERVACIONES","","","","","","","","","","","","","","","","",""
"1","3","olimpica","1","Feb-07","cebolla","1300","lb","Se observó una gran cantidad de cebollas cabezonas blancas con buen aspecto","","","","","","","","","","","","","","","","",""
"1","3","olimpica","1","Feb-07","coliflor","4100","lb","Se observó poca cantidad y no muy grandes en cuanto a su aspecto","","","","","","","","","","","","","","","","",""
"1","3","olimpica","1","Feb-07","papa","1600","lb","Debido a que la papa sabanera se encontraba empacada por bolsas de 3 libras, no se pudo ver su apariencia","","","","","","","","","","","","","","","","",""
"1","3","olimpica","1","Feb-07","tomate","2300","lb","Se observó un color verdoso de los tomates, según las imágenes observadas, se puede decir que era un tomate escogido","","","","","","","","","","","","","","","","",""
"1","3","olimpica","1","Feb-07","zanahoria","1100","lb","No había gran cantidad de zanahorias, por lo que se puede deducir que no hay mucha cosecha","","","","","","","","","","","","","","","","",""
"1","3","olimpica","1","Feb-07","fresa","7200","lb","Debido a que las fresas se encontraban empacadas en recipientes de plástico, se pudo ver una apariencia diferente, también se puede decir que tiene un alto costo","","","","","","","","","","","","","","","","",""
"1","3","olimpica","1","Feb-07","granadilla","6450","lb","Se observó una gran cantidad de granadilla con buen aspecto","","","","","","","","","","","","","","","","",""
"1","3","olimpica","1","Feb-07","lulo","2800","lb","Se observó gran cantidad y variedad de lulo de diferentes aspectos","","","","","","","","","","","","","","","","",""
"1","3","olimpica","1","Feb-07","manzanas","5250","lb","Debido a que había gran variedad, tuvimos que escoger si tomábamos los precios de las manzanas en una canasta o las que estaban en un recipiente plástico, en general los dos tipos tenían buen aspecto","","","","","","","","","","","","","","","","",""
"1","3","olimpica","1","Feb-07","maracuya","3200","lb","No se observó gran cantidad del producto y del poco que había, se puede decir que no tenía buen aspecto","","","","","","","","","","","","","","","","",""
"1","3","surtifruver_cll58","2","Feb-14","cebolla","700","lb","No ha cambiado de precio respecto a la semana nterior","","","","","","","","","","","","","","","","",""
"1","3","surtifruver_cll58","2","Feb-14","coliflor","4100","lb","Ha estado escasa, por lo tanto subio su precio","","","","","","","","","","","","","","","","",""
"1","3","surtifruver_cll58","2","Feb-14","papa","937","lb","Se observo bastante cantidad de papa, segun tenderos ha estado muy barata en el inicio de año","","","","","","","","","","","","","","","","",""
"1","3","surtifruver_cll58","2","Feb-14","tomate","2150","lb","Bajo de precio respecto a la semana pasada. En buen aspecto y fresco.","","","","","","","","","","","","","","","","",""
"1","3","surtifruver_cll58","2","Feb-14","zanahoria","1150","lb","La libra estaba a 1650, tuvo una baja considerable","","","","","","","","","","","","","","","","",""
"1","3","surtifruver_cll58","2","Feb-14","fresa","6600","lb","Tiene un precio relativaemente bajo, casi todo el año esta en cosecha","","","","","","","","","","","","","","","","",""
"1","3","surtifruver_cll58","2","Feb-14","granadilla","6290","lb","Lleva mas de 20 dias cara, se observo muy poca","","","","","","","","","","","","","","","","",""
"1","3","surtifruver_cll58","2","Feb-14","lulo","2590","lb","El precio se ha mantenido igual en la ultima semana ","","","","","","","","","","","","","","","","",""
"1","3","surtifruver_cll58","2","Feb-14","manzanas","6250","lb","subio 50 pesos respecto al dia anterior","","","","","","","","","","","","","","","","",""
"1","3","surtifruver_cll58","2","Feb-14","maracuya","4250","lb","En buen aspecto, segun la tendera no ha tenido cambios considerables de precio. Constante.","","","","","","","","","","","","","","","","",""
"1","3","olimpica","3","Feb-20","cebolla","1300","lb","Se observó en cuanto a calidad un buen tamaño pero en cuanto a su aspecto no es muy bueno","","","","","","","","","","","","","","","","",""
"1","3","olimpica","3","Feb-20","coliflor","3750","lb","Se puede observar una buena calidad, sin embargo solo hay 8 en su totalidad","","","","","","","","","","","","","","","","",""
"1","3","olimpica","3","Feb-20","papa","4800","lb","Estas papas al estar empacadas en bolsas, se esperaría que tuvieran buena calidad dado su selección","","","","","","","","","","","","","","","","",""
"1","3","olimpica","3","Feb-20","tomate","3450","lb","Poseen un color verde, pero algunos se encuentran en malas condiciones.","","","","","","","","","","","","","","","","",""
"1","3","olimpica","3","Feb-20","zanahoria","1100","lb","Hay una gran cantidad de zanahorias, sin embargo no se observa mucho movimiento de estas dado que algunas se ven viejas.","","","","","","","","","","","","","","","","",""
"1","3","olimpica","3","Feb-20","fresa","6800","lb","Solo se encontraba 1 recipiente plástico a la venta y su calidad no era buena dado que la mayoría estaban dañadas.","","","","","","","","","","","","","","","","",""
"1","3","olimpica","3","Feb-20","granadilla","6600","lb","Se observó una pequeña cantidad de granadilla con buen aspecto.","","","","","","","","","","","","","","","","",""
"1","3","olimpica","3","Feb-20","lulo","2800","lb","Se observó una buena calidad dado que su tamaño y su color eran muy buenos","","","","","","","","","","","","","","","","",""
"1","3","olimpica","3","Feb-20","manzanas","5250","lb","Se observó una buena calidad de las manzanas que se podían escoger, tenían un excelente tamaño y un buen color","","","","","","","","","","","","","","","","",""
"1","3","olimpica","3","Feb-20","maracuya","4700","lb","Se observan poca cantidad de este bien, sin embargo su tamaño era muy bueno pero al agitarlo se notaba que tenían muy poca pulpa, por tanto no eran muy buenos para la compra.","","","","","","","","","","","","","","","","",""
"1","3","surtifruver_cll58","4","Feb-25","cebolla","690","lb","Se encontraba en buen estado, fresca. y habia buena cantidad del producto","","","","","","","","","","","","","","","","",""
"1","3","surtifruver_cll58","4","Feb-25","coliflor","3690","lb","Poca cantidad, pero en muy estado","","","","","","","","","","","","","","","","",""
"1","3","surtifruver_cll28","4","Feb-25","papa","1800","lb","Mucha cantidad, estaba en cosecha","","","","","","","","","","","","","","","","",""
"1","3","surtifruver_cll58","4","Feb-25","tomate","1960","lb","gran variedad pero no muy buen aspecto en general","","","","","","","","","","","","","","","","",""
"1","3","surtifruver_cll58","4","Feb-25","zanahoria","1490","lb","tenian muy buen tamaño y estaban limpias","","","","","","","","","","","","","","","","",""
"1","3","surtifruver_cll58","4","Feb-25","fresa","6150","lb","estaban frescas y habian gran cantidad","","","","","","","","","","","","","","","","",""
"1","3","surtifruver_cll58","4","Feb-25","granadilla","4750","lb","Se encontraba en buen estado, fresca. ","","","","","","","","","","","","","","","","",""
"1","3","surtifruver_cll58","4","Feb-25","lulo","2500","lb","habia un cantidad normal, y estaban muy frescos","","","","","","","","","","","","","","","","",""
"1","3","surtifruver_cll58","4","Feb-25","manzanas","6500","lb","tenian todas tamaños similares y muy buena calidad","","","","","","","","","","","","","","","","",""
"1","3","surtifruver_cll58","4","Feb-25","maracuya","3750","lb","muy buena calidad y buen tamaño pero habian pocas","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
